epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.027,3.34891,5.41107,2.93423,0,0,0,0,3.10168,5.26251,2.84559,3.332e-05,3.332e-05,3.332e-05
1,162.799,3.34891,5.41107,2.93423,0,0,0,0,3.10168,5.26251,2.84559,3.332e-05,3.332e-05,3.332e-05
2,539.26,3.43387,5.39255,2.94485,0.00014,0.04167,0.00013,1e-05,3.03876,5.22869,2.82833,7.0022e-05,7.0022e-05,7.0022e-05
3,690.066,3.36754,5.55749,2.86432,0.00025,0.08333,0.00024,3e-05,2.99072,5.21783,2.86718,0.000101226,0.000101226,0.000101226
4,785.851,3.40723,5.29455,2.91438,0.00015,0.04167,0.00012,2e-05,3.01547,5.1881,2.92518,0.000126933,0.000126933,0.000126933
5,839.907,3.30681,5.39184,2.83444,0.00031,0.08333,0.00035,6e-05,3.11152,5.19435,2.9818,0.000147141,0.000147141,0.000147141
6,892.857,3.20569,5.90848,2.75978,0.00022,0.04167,0.00042,8e-05,3.22778,5.19731,3.02696,0.000161852,0.000161852,0.000161852
7,947.918,3.27304,5.83972,2.98487,0.00141,0.13244,0.00346,0.00038,3.1082,5.21632,3.06221,0.000171065,0.000171065,0.000171065
8,1002.67,3.14429,5.60755,2.84746,0.00134,0.13244,0.00186,0.0002,2.93115,5.21985,3.04406,0.00017478,0.00017478,0.00017478
9,1045.56,3.07062,5.54144,2.83435,0.00083,0.13988,0.00282,0.00077,2.86854,5.15324,2.91217,0.000172997,0.000172997,0.000172997
10,1086.74,3.09821,5.54165,2.70827,0.00041,0.10417,0.0158,0.00334,2.96637,5.17753,2.85896,0.000165717,0.000165717,0.000165717
11,1127.22,3.17177,5.54016,2.76244,0.00033,0.10417,0.00176,0.00038,2.98657,5.17086,2.83319,0.000152939,0.000152939,0.000152939
12,1168.64,3.01496,5.4761,2.64838,0.00045,0.20833,0.00136,0.00036,2.95452,5.17182,2.77202,0.000134663,0.000134663,0.000134663
13,1209.79,3.01729,5.48288,2.60175,0.00692,0.18601,0.00474,0.00071,2.95499,5.15689,2.78542,0.000110889,0.000110889,0.000110889
14,1260.01,3.06351,5.44941,2.6843,0.00033,0.17708,0.00085,0.00027,2.89956,5.13332,2.71427,8.16173e-05,8.16173e-05,8.16173e-05
15,1306.55,3.00824,5.51789,2.62504,0.00018,0.14583,0.00041,0.00012,2.94913,5.06795,2.62973,4.68479e-05,4.68479e-05,4.68479e-05
