epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.9011,1.06129,5.34421,1.16759,0.04087,1,0.995,0.92029,0.40807,2.59469,1.03747,0,0,0
2,15.9659,1.3848,8.18579,1.34397,0.82013,1,0.995,0.92029,0.40635,2.65648,1.03665,1.802e-05,1.802e-05,1.802e-05
3,23.7344,1.33309,6.37016,1.25659,1,0.95985,0.995,0.92029,0.40835,2.84416,1.03441,3.208e-05,3.208e-05,3.208e-05
4,31.0865,0.90148,4.82974,1.12375,1,0.98305,0.995,0.92029,0.40675,3.34242,1.03061,4.218e-05,4.218e-05,4.218e-05
5,38.5424,1.35726,4.19791,1.24635,1,0.95126,0.995,0.92029,0.4157,3.77535,1.03456,4.832e-05,4.832e-05,4.832e-05
6,47.7612,1.00418,4.0056,1.05155,1,0.95802,0.995,0.89508,0.4391,3.48973,1.04085,5.05e-05,5.05e-05,5.05e-05
7,56.1574,0.87149,3.65683,1.30254,1,0.95527,0.995,0.89508,0.42666,3.24792,1.03933,4.872e-05,4.872e-05,4.872e-05
8,64.0466,0.70647,2.40825,0.93605,1,0.95165,0.995,0.89508,0.42367,3.30501,1.03865,4.298e-05,4.298e-05,4.298e-05
9,71.3808,0.96942,3.45599,1.07542,1,0.95008,0.995,0.995,0.40901,3.33556,1.03114,3.328e-05,3.328e-05,3.328e-05
10,78.6357,0.50081,2.38457,0.81366,1,0.94878,0.995,0.995,0.39335,3.36604,1.02229,1.962e-05,1.962e-05,1.962e-05
