epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.87091,1.26006,3.95238,1.07093,0.00333,1,0.995,0.8955,0.44526,3.14446,0.81283,0,0,0
2,8.88873,1.11809,3.61241,1.06724,0.00333,1,0.995,0.8955,0.40752,3.15893,0.80469,1.604e-05,1.604e-05,1.604e-05
3,12.4548,0.8317,3.30195,0.97865,0.00333,1,0.995,0.94504,0.36567,3.17252,0.79394,2.416e-05,2.416e-05,2.416e-05
4,16.0841,1.15897,3.56559,1.00667,0.00333,1,0.995,0.92029,0.33691,3.17306,0.78571,2.436e-05,2.436e-05,2.436e-05
5,20.254,1.05005,3.60017,1.13348,0.00333,1,0.995,0.92029,0.33351,3.14925,0.78297,1.664e-05,1.664e-05,1.664e-05
1,3.66713,1.26006,3.95238,1.07093,0.00333,1,0.995,0.8955,0.44526,3.14446,0.81283,0,0,0
2,7.38087,1.11809,3.61241,1.06724,0.00333,1,0.995,0.8955,0.40752,3.15893,0.80469,1.604e-05,1.604e-05,1.604e-05
3,10.6098,0.8317,3.30195,0.97865,0.00333,1,0.995,0.94504,0.36567,3.17252,0.79394,2.416e-05,2.416e-05,2.416e-05
4,14.1399,1.15897,3.56559,1.00667,0.00333,1,0.995,0.92029,0.33691,3.17306,0.78571,2.436e-05,2.436e-05,2.436e-05
5,18.4978,1.05005,3.60017,1.13348,0.00333,1,0.995,0.92029,0.33351,3.14925,0.78297,1.664e-05,1.664e-05,1.664e-05
