epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.515,3.34891,5.41107,2.93423,0,0,0,0,3.10168,5.26251,2.84559,3.332e-05,3.332e-05,3.332e-05
2,192.895,3.43451,5.39022,2.94275,0.00014,0.04167,0.00013,1e-05,3.03978,5.22338,2.83119,7.1259e-05,7.1259e-05,7.1259e-05
3,251.838,3.3903,5.54631,2.87451,0.00023,0.08333,0.00018,2e-05,2.9561,5.21649,2.86877,0.000105075,0.000105075,0.000105075
4,311.12,3.43658,5.33377,2.90474,0.00011,0.04167,0.00015,3e-05,2.98483,5.19724,2.92599,0.000134767,0.000134767,0.000134767
5,373.061,3.31225,5.36462,2.82107,0.00057,0.0506,0.00035,6e-05,3.05159,5.18828,2.97086,0.000160336,0.000160336,0.000160336
6,431.518,3.14777,5.18329,2.6512,0.00044,0.00893,0.00029,8e-05,3.05899,5.14551,2.9724,0.000181781,0.000181781,0.000181781
7,489.173,3.18893,5.18561,2.62606,0.00154,0.08185,0.00217,0.00054,3.04049,5.16499,2.95609,0.000199104,0.000199104,0.000199104
8,545.024,3.03928,5.1775,2.6007,0.00132,0.10863,0.00367,0.00097,2.90873,5.12238,2.86744,0.000212303,0.000212303,0.000212303
9,599.201,3.06055,5.01239,2.58082,0.00112,0.10863,0.00146,0.00033,2.90565,5.11793,2.81612,0.000221378,0.000221378,0.000221378
10,653.976,3.12906,4.97453,2.616,0.00077,0.07738,0.00066,0.00016,2.93936,5.12478,2.77947,0.00022633,0.00022633,0.00022633
11,717.361,3.21642,5.50277,2.76493,0.00099,0.06845,0.00085,0.00017,3.03568,5.17815,2.83133,0.000227159,0.000227159,0.000227159
12,770.468,3.16017,5.5333,2.75012,0.00075,0.03571,0.00056,0.00018,3.0188,5.21397,2.9591,0.000223865,0.000223865,0.000223865
13,824.29,3.09161,5.55584,2.79589,0.00063,0.08929,0.00052,0.00012,2.93198,5.24758,2.93753,0.000216447,0.000216447,0.000216447
14,880.839,3.02686,5.48785,2.72574,0.00128,0.10714,0.00128,0.00019,2.99986,5.24721,2.88593,0.000204906,0.000204906,0.000204906
15,934.339,3.05201,5.45374,2.73151,0.00059,0.06696,0.00054,6e-05,3.04988,5.1308,2.71691,0.000189241,0.000189241,0.000189241
16,988.5,2.97475,5.44626,2.67438,0.00062,0.06696,0.00056,0.00011,3.01762,5.13784,2.66752,0.000169453,0.000169453,0.000169453
1,67.846,3.34891,5.41107,2.93423,0,0,0,0,3.10168,5.26251,2.84559,3.332e-05,3.332e-05,3.332e-05
2,125.272,3.43451,5.39022,2.94275,0.00014,0.04167,0.00013,1e-05,3.03978,5.22338,2.83119,7.1259e-05,7.1259e-05,7.1259e-05
3,180.337,3.3903,5.54631,2.87451,0.00023,0.08333,0.00018,2e-05,2.9561,5.21649,2.86877,0.000105075,0.000105075,0.000105075
4,237.804,3.43658,5.33377,2.90474,0.00011,0.04167,0.00015,3e-05,2.98483,5.19724,2.92599,0.000134767,0.000134767,0.000134767
5,293.807,3.31225,5.36462,2.82107,0.00057,0.0506,0.00035,6e-05,3.05159,5.18828,2.97086,0.000160336,0.000160336,0.000160336
6,348.287,3.14777,5.18329,2.6512,0.00044,0.00893,0.00029,8e-05,3.05899,5.14551,2.9724,0.000181781,0.000181781,0.000181781
7,406.126,3.18893,5.18561,2.62606,0.00154,0.08185,0.00217,0.00054,3.04049,5.16499,2.95609,0.000199104,0.000199104,0.000199104
8,484.302,3.03928,5.1775,2.6007,0.00132,0.10863,0.00367,0.00097,2.90873,5.12238,2.86744,0.000212303,0.000212303,0.000212303
9,561.703,3.06055,5.01239,2.58082,0.00112,0.10863,0.00146,0.00033,2.90565,5.11793,2.81612,0.000221378,0.000221378,0.000221378
10,624.492,3.12906,4.97453,2.616,0.00077,0.07738,0.00066,0.00016,2.93936,5.12478,2.77947,0.00022633,0.00022633,0.00022633
11,692.3,3.21642,5.50277,2.76493,0.00099,0.06845,0.00085,0.00017,3.03568,5.17815,2.83133,0.000227159,0.000227159,0.000227159
12,747.764,3.16017,5.5333,2.75012,0.00075,0.03571,0.00056,0.00018,3.0188,5.21397,2.9591,0.000223865,0.000223865,0.000223865
13,804.427,3.09161,5.55584,2.79589,0.00063,0.08929,0.00052,0.00012,2.93198,5.24758,2.93753,0.000216447,0.000216447,0.000216447
14,859.559,3.02686,5.48785,2.72574,0.00128,0.10714,0.00128,0.00019,2.99986,5.24721,2.88593,0.000204906,0.000204906,0.000204906
15,913.788,3.05201,5.45374,2.73151,0.00059,0.06696,0.00054,6e-05,3.04988,5.1308,2.71691,0.000189241,0.000189241,0.000189241
16,969.71,2.97475,5.44626,2.67438,0.00062,0.06696,0.00056,0.00011,3.01762,5.13784,2.66752,0.000169453,0.000169453,0.000169453
