epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.9625,3.31944,5.6165,2.90246,0,0,0,0,3.21082,5.31689,2.95791,0.000270725,0.000270725,0.000270725
2,155.343,3.41872,5.75395,2.92742,0.00025,0.03125,0.00018,7e-05,3.18353,5.26961,3.00189,0.000537534,0.000537534,0.000537534
3,233.714,3.36015,5.70324,2.86338,0.0003,0.04911,0.00034,3e-05,3.33986,5.26407,2.95765,0.000793346,0.000793346,0.000793346
4,308.426,3.2013,5.43103,2.79652,0.00059,0.0506,0.00059,6e-05,3.33333,5.19279,2.88257,0.00078352,0.00078352,0.00078352
5,380.734,3.21029,5.55807,2.69549,0.00058,0.05804,0.0004,0.00013,3.23072,5.30848,2.7151,0.000767026,0.000767026,0.000767026
6,451.821,3.07215,5.60232,2.58771,0.00035,0.07292,0.00037,0.00015,3.20439,5.26461,2.73788,0.000750533,0.000750533,0.000750533
7,521.787,3.21347,5.26256,2.71938,0.00066,0.07589,0.00059,0.00018,3.31708,5.27005,2.84466,0.00073404,0.00073404,0.00073404
8,590.99,3.0804,5.41645,2.62366,0.00028,0.04911,0.00021,4e-05,3.38238,5.21437,2.84194,0.000717546,0.000717546,0.000717546
9,664.008,3.17833,5.51246,2.56798,0.00031,0.04911,0.00046,0.0001,3.42479,5.17437,3.0148,0.000701053,0.000701053,0.000701053
10,734.615,3.10508,5.17157,2.58131,0.00041,0.04911,0.00046,9e-05,3.20431,5.12385,2.81413,0.000684559,0.000684559,0.000684559
11,816.511,3.1289,5.23566,2.65188,0.00041,0.04911,0.00046,9e-05,3.09143,5.08393,2.7458,0.000668066,0.000668066,0.000668066
12,905.603,3.30803,5.44888,2.69062,0.00087,0.10417,0.00387,0.00068,3.00569,5.04595,2.61865,0.000651573,0.000651573,0.000651573
13,969.656,3.22292,5.20934,2.6769,0.00101,0.12202,0.02175,0.00648,3.03549,5.04122,2.62035,0.000635079,0.000635079,0.000635079
14,1036.52,3.26165,5.07709,2.65365,0.00162,0.20536,0.00593,0.00079,3.12026,5.08059,2.66654,0.000618586,0.000618586,0.000618586
15,1102.88,3.07307,5.38486,2.54679,0.00095,0.16369,0.00094,0.00016,3.25487,5.05856,2.70771,0.000602092,0.000602092,0.000602092
16,1169.37,3.02311,5.40363,2.50384,0.00014,0.04167,0.00012,1e-05,3.27655,5.21508,2.66242,0.000585599,0.000585599,0.000585599
17,1237.46,3.20326,5.19403,2.61247,0.00076,0.0997,0.00054,0.0001,3.28507,5.19141,2.66599,0.000569106,0.000569106,0.000569106
18,1310.5,3.10979,5.32526,2.53998,0.00067,0.10863,0.00049,0.00014,3.27432,5.13104,2.62698,0.000552612,0.000552612,0.000552612
19,1379.44,2.9347,5.18605,2.42162,0.00068,0.10863,0.0006,0.0002,3.31042,5.14268,2.6272,0.000536119,0.000536119,0.000536119
20,1448.58,3.02919,5.06955,2.52135,0.00055,0.09077,0.00068,0.00024,3.25198,5.10013,2.60307,0.000519625,0.000519625,0.000519625
21,1517.42,3.13782,5.31394,2.5203,0.00067,0.15327,0.00057,0.0002,3.34668,5.11866,2.61722,0.000503132,0.000503132,0.000503132
22,1590.32,3.01464,5.29768,2.41239,0.00046,0.09077,0.00047,0.00019,3.34257,5.07542,2.6036,0.000486639,0.000486639,0.000486639
23,1661.18,3.06904,5.30282,2.50896,0.0009,0.22619,0.0015,0.00026,3.2737,5.11942,2.59977,0.000470145,0.000470145,0.000470145
24,1730.75,3.06478,4.9766,2.4787,0.00057,0.10119,0.00116,0.00028,3.24464,5.15661,2.62859,0.000453652,0.000453652,0.000453652
25,1799.14,2.95722,5.00724,2.42824,0.00057,0.10119,0.00112,0.00026,3.0707,5.17357,2.65296,0.000437158,0.000437158,0.000437158
26,1871.68,2.9564,4.98044,2.44495,0.00082,0.13244,0.00156,0.0003,3.03154,5.16258,2.63096,0.000420665,0.000420665,0.000420665
27,1943.2,2.99721,5.21185,2.51809,0.00088,0.13244,0.00135,0.00026,3.0878,5.14452,2.6083,0.000404172,0.000404172,0.000404172
28,2012.87,2.91111,5.07336,2.42668,0.00084,0.11905,0.00129,0.00023,3.1489,5.16433,2.57644,0.000387678,0.000387678,0.000387678
29,2086.49,2.87216,5.08307,2.42103,0.00068,0.07738,0.00066,0.00023,3.17205,5.17969,2.56232,0.000371185,0.000371185,0.000371185
30,2261.97,2.90942,5.00012,2.40979,0.00076,0.07738,0.00066,0.00022,3.18713,5.19804,2.56417,0.000354691,0.000354691,0.000354691
31,2314.69,2.98319,5.02813,2.44552,0.00058,0.05952,0.00043,0.00016,3.17314,5.1797,2.58013,0.000338198,0.000338198,0.000338198
32,2365.62,2.92159,5.33689,2.38493,0.00104,0.13244,0.00104,0.00033,3.20791,5.1705,2.58268,0.000321705,0.000321705,0.000321705
33,2414.98,2.89114,5.05314,2.37292,0.00091,0.13244,0.00117,0.00044,3.19249,5.19045,2.55923,0.000305211,0.000305211,0.000305211
34,2466.62,2.9896,5.01001,2.46337,0.00092,0.13244,0.00097,0.00035,3.18371,5.17836,2.54794,0.000288718,0.000288718,0.000288718
35,2516.93,2.99248,5.05531,2.46327,0.00079,0.09077,0.00064,0.00029,3.18943,5.20785,2.54818,0.000272224,0.000272224,0.000272224
36,2567.18,2.89462,5.06184,2.37868,0.00071,0.09077,0.00058,0.00027,3.1432,5.2129,2.52189,0.000255731,0.000255731,0.000255731
37,2618.19,2.90584,5.16806,2.35925,0.00052,0.07738,0.00061,0.00026,3.13874,5.18373,2.50346,0.000239238,0.000239238,0.000239238
38,2668.79,2.91908,5.08913,2.42556,0.00072,0.10863,0.0006,0.00026,3.12473,5.18205,2.49804,0.000222744,0.000222744,0.000222744
39,2721.52,2.96294,5.14329,2.44712,0.00065,0.09077,0.00049,0.00023,3.11265,5.21414,2.47905,0.000206251,0.000206251,0.000206251
40,2773.25,2.99767,5.12135,2.4448,0.00066,0.09077,0.0005,0.00022,3.08883,5.22776,2.47096,0.000189757,0.000189757,0.000189757
41,2825.36,2.95928,5.49875,2.46631,0.00027,0.04911,0.00018,4e-05,3.14144,5.2848,2.47976,0.000173264,0.000173264,0.000173264
42,2875.01,2.8779,5.54777,2.40996,0.00024,0.04911,0.00015,2e-05,3.20992,5.33149,2.47427,0.000156771,0.000156771,0.000156771
43,2926.01,2.9915,5.63548,2.47269,0.00017,0.03571,0.0001,2e-05,3.20471,5.34843,2.47587,0.000140277,0.000140277,0.000140277
44,2977.65,3.07252,5.67036,2.45934,0.00016,0.03571,0.00011,2e-05,3.18538,5.35448,2.46032,0.000123784,0.000123784,0.000123784
45,3028.5,2.99824,5.54104,2.41553,0.00017,0.03571,0.00012,2e-05,3.13123,5.29467,2.46828,0.00010729,0.00010729,0.00010729
46,3081.3,3.02692,5.5892,2.50389,0.00033,0.07738,0.00023,3e-05,3.16999,5.34442,2.43979,9.0797e-05,9.0797e-05,9.0797e-05
47,3134.01,2.86188,5.53747,2.45406,0.00016,0.03571,0.00011,2e-05,3.16523,5.39257,2.42689,7.43036e-05,7.43036e-05,7.43036e-05
48,3188.28,2.93064,5.41331,2.41924,0.0009,0.10119,0.00154,0.00029,3.17392,5.40273,2.42346,5.78102e-05,5.78102e-05,5.78102e-05
49,3242.95,2.95331,5.46533,2.48677,0.00077,0.05952,0.00133,0.00013,3.1877,5.37887,2.42883,4.13168e-05,4.13168e-05,4.13168e-05
50,3296.09,2.93124,5.47914,2.46223,0.00075,0.05952,0.00094,9e-05,3.16477,5.37899,2.42154,2.48234e-05,2.48234e-05,2.48234e-05
